Uruguay,3473727
United States,329484123
Uzbekistan,34232050
St. Vincent and the Grenadines,110947
"Venezuela, RB",28435943
British Virgin Islands,30237
Virgin Islands (U.S.),106290
Vietnam,97338583
Vanuatu,307150
World,7752840547
Samoa,198410
Kosovo,1775378
"Yemen, Rep.",29825968
South Africa,59308690
Zambia,18383956
Zimbabwe,14862927
